,0,1
0,1040.0,1345.0
1,737.0,1081.0
2,508.0,979.0
3,306.0,911.0
4,410.0,1266.0
5,771.0,2556.0
6,902.1,3121.0
7,838.0,3237.0
8,967.0,3521.0
9,406.0,1436.0
10,9.0,115.0
11,364.0,1929.0
12,164.0,1046.0
13,0.0,2048.0
14,1.0,18.0
